index,plate_well_neuron,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
138,PID20170214_RGEDIMachineLearning22_A11_28,0.015876134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
139,PID20170214_RGEDIMachineLearning22_A11_29,0.014274705,0.018061603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
140,PID20170214_RGEDIMachineLearning22_A11_3,0.017335467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
141,PID20170214_RGEDIMachineLearning22_A11_30,0.157189947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
142,PID20170214_RGEDIMachineLearning22_A11_31,0.015768839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
143,PID20170214_RGEDIMachineLearning22_A11_32,0.017090818,0.110042857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
144,PID20170214_RGEDIMachineLearning22_A11_33,0.015410379,0.018569821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
145,PID20170214_RGEDIMachineLearning22_A11_34,0.012857949,0.016634252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
146,PID20170214_RGEDIMachineLearning22_A11_35,0.018494652,0.161524586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
147,PID20170214_RGEDIMachineLearning22_A11_36,0.018117885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
148,PID20170214_RGEDIMachineLearning22_A11_37,0.017286867,0.142914825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
149,PID20170214_RGEDIMachineLearning22_A11_38,0.015623659,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
150,PID20170214_RGEDIMachineLearning22_A11_39,0.145174417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
151,PID20170214_RGEDIMachineLearning22_A11_4,0.01850913,0.019932485,0.021469518,0.022739768,0.024290601,0.023191889,0.027240679,NA,NA,NA,NA,NA,NA,NA,NA
152,PID20170214_RGEDIMachineLearning22_A11_40,0.015796161,0.020429984,0.02440257,0.024997214,0.026025517,0.022168783,0.025394057,NA,NA,NA,NA,NA,NA,NA,NA
153,PID20170214_RGEDIMachineLearning22_A11_41,0.016192415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
154,PID20170214_RGEDIMachineLearning22_A11_42,0.016649769,0.015806056,0.019954105,0.018889884,0.02380633,0.023779369,0.02268049,NA,NA,NA,NA,NA,NA,NA,NA
155,PID20170214_RGEDIMachineLearning22_A11_43,0.018103962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
156,PID20170214_RGEDIMachineLearning22_A11_44,0.009594742,0.018091572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
157,PID20170214_RGEDIMachineLearning22_A11_45,0.019848781,0.020603989,0.022168064,0.021482165,0.023442681,0.170673688,NA,NA,NA,NA,NA,NA,NA,NA,NA
158,PID20170214_RGEDIMachineLearning22_A11_46,0.018532696,0.178793203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
159,PID20170214_RGEDIMachineLearning22_A11_47,0.015748843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
160,PID20170214_RGEDIMachineLearning22_A11_48,0.015010696,0.019369584,0.020936658,0.020847968,0.019696657,0.019860723,0.020444458,NA,NA,NA,NA,NA,NA,NA,NA
161,PID20170214_RGEDIMachineLearning22_A11_5,0.016464768,0.1476539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
162,PID20170214_RGEDIMachineLearning22_A11_6,0.018458946,0.018603098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
163,PID20170214_RGEDIMachineLearning22_A11_7,0.131746984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
164,PID20170214_RGEDIMachineLearning22_A11_8,0.01913175,0.01925451,0.022005333,0.022169313,0.024477829,0.024437202,0.022808855,NA,NA,NA,NA,NA,NA,NA,NA
165,PID20170214_RGEDIMachineLearning22_A11_9,0.018851213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
166,PID20170214_RGEDIMachineLearning22_A12_1,0.016700595,0.018460269,0.019287605,0.019219381,0.018125432,0.019458281,0.021567122,NA,NA,NA,NA,NA,NA,NA,NA
167,PID20170214_RGEDIMachineLearning22_A12_10,0.014645688,0.015479774,0.017152033,0.017766404,0.020291539,0.019971986,0.018922018,NA,NA,NA,NA,NA,NA,NA,NA
168,PID20170214_RGEDIMachineLearning22_A12_11,0.016857425,0.017023286,0.022375679,0.021485179,0.021971464,0.018471075,0.016574327,NA,NA,NA,NA,NA,NA,NA,NA
169,PID20170214_RGEDIMachineLearning22_A12_12,0.162363791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
170,PID20170214_RGEDIMachineLearning22_A12_13,0.015414528,0.017653041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
171,PID20170214_RGEDIMachineLearning22_A12_14,0.014999105,0.016637673,0.018430935,0.018722287,0.021109341,0.020584056,0.020495017,NA,NA,NA,NA,NA,NA,NA,NA
172,PID20170214_RGEDIMachineLearning22_A12_15,0.018145419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
173,PID20170214_RGEDIMachineLearning22_A12_16,0.016453684,0.014813005,0.016215303,0.018584877,0.018251005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
